message_id,contact_id,send_date,send_hour,day_of_week,message_type,city_tier,age_group,device_type,signup_channel,tenure_days,delivered,read,responded,converted,opted_out,time_to_read_min,time_to_response_hr
MSG000070,CUST00009,2025-05-06,12,Tuesday,Promotional,Tier 1,18-24,Android,Website Signup,357,0,0,0,0,0,,
MSG000071,CUST00009,2025-05-11,11,Sunday,Promotional,Tier 1,18-24,Android,Website Signup,357,1,1,0,0,0,90.0,
MSG000072,CUST00009,2025-05-23,15,Friday,Reminder,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000073,CUST00009,2025-05-24,9,Saturday,Promotional,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000074,CUST00009,2025-05-28,12,Wednesday,Festive Offer,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000075,CUST00009,2025-07-19,16,Saturday,Transactional,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000076,CUST00009,2025-08-06,6,Wednesday,Promotional,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000077,CUST00010,2025-03-19,7,Wednesday,Promotional,Tier 2,45-54,Android,Website Signup,897,1,1,1,1,0,99.3,29.12
MSG000078,CUST00010,2025-05-17,12,Saturday,Festive Offer,Tier 2,45-54,Android,Website Signup,897,1,1,1,1,0,86.6,7.99
MSG000079,CUST00010,2025-05-27,9,Tuesday,Feedback Request,Tier 2,45-54,Android,Website Signup,897,1,1,1,0,0,83.8,1.24
MSG000080,CUST00010,2025-05-29,12,Thursday,Promotional,Tier 2,45-54,Android,Website Signup,897,0,0,0,0,0,,
MSG000081,CUST00010,2025-06-03,21,Tuesday,Promotional,Tier 2,45-54,Android,Website Signup,897,1,1,1,0,0,4.6,2.71
MSG000082,CUST00010,2025-08-17,16,Sunday,Promotional,Tier 2,45-54,Android,Website Signup,897,1,1,1,0,0,21.4,8.79
MSG000083,CUST00011,2025-03-21,10,Friday,Transactional,Tier 1,25-34,Android,Referral,49,1,1,1,0,0,27.8,10.47
MSG000084,CUST00011,2025-04-14,13,Monday,Promotional,Tier 1,25-34,Android,Referral,49,1,1,0,0,0,36.4,
MSG000085,CUST00011,2025-05-28,11,Wednesday,Transactional,Tier 1,25-34,Android,Referral,49,0,0,0,0,0,,
MSG000086,CUST00011,2025-06-16,12,Monday,Reminder,Tier 1,25-34,Android,Referral,49,1,1,1,0,0,15.8,52.39
MSG000087,CUST00011,2025-07-16,16,Wednesday,Reminder,Tier 1,25-34,Android,Referral,49,1,1,0,0,0,158.7,
MSG000088,CUST00011,2025-07-22,11,Tuesday,Festive Offer,Tier 1,25-34,Android,Referral,49,1,1,0,0,0,114.5,
MSG000089,CUST00011,2025-07-28,15,Monday,Reminder,Tier 1,25-34,Android,Referral,49,1,1,1,0,0,366.7,12.21
MSG000090,CUST00012,2025-03-26,9,Wednesday,Festive Offer,Tier 3,18-24,Android,Referral,792,0,0,0,0,0,,
MSG000091,CUST00012,2025-04-02,15,Wednesday,Promotional,Tier 3,18-24,Android,Referral,792,1,0,0,0,0,,
MSG000092,CUST00012,2025-04-11,7,Friday,Transactional,Tier 3,18-24,Android,Referral,792,1,1,1,0,0,64.2,8.06
MSG000093,CUST00012,2025-04-18,6,Friday,Transactional,Tier 3,18-24,Android,Referral,792,1,1,1,0,0,44.0,14.51
MSG000094,CUST00012,2025-04-25,14,Friday,Feedback Request,Tier 3,18-24,Android,Referral,792,1,1,0,0,0,74.6,
MSG000095,CUST00012,2025-07-20,7,Sunday,Transactional,Tier 3,18-24,Android,Referral,792,1,1,0,0,0,155.4,
MSG000096,CUST00012,2025-07-28,11,Monday,Promotional,Tier 3,18-24,Android,Referral,792,1,0,0,0,0,,
MSG000097,CUST00012,2025-08-16,5,Saturday,Promotional,Tier 3,18-24,Android,Referral,792,1,1,0,0,0,76.9,
MSG000098,CUST00012,2025-08-17,17,Sunday,Feedback Request,Tier 3,18-24,Android,Referral,792,1,1,1,0,0,179.3,9.46
MSG000099,CUST00012,2025-08-28,17,Thursday,Festive Offer,Tier 3,18-24,Android,Referral,792,1,0,0,0,0,,
MSG000100,CUST00013,2025-03-09,13,Sunday,Promotional,Tier 2,25-34,Android,Website Signup,619,1,1,0,0,0,244.0,
MSG000101,CUST00013,2025-03-30,11,Sunday,Festive Offer,Tier 2,25-34,Android,Website Signup,619,1,1,0,0,0,328.1,
MSG000102,CUST00013,2025-04-22,12,Tuesday,Transactional,Tier 2,25-34,Android,Website Signup,619,1,1,0,0,0,3.0,
MSG000103,CUST00013,2025-05-17,12,Saturday,Festive Offer,Tier 2,25-34,Android,Website Signup,619,1,1,1,1,0,173.3,1.25
MSG000104,CUST00013,2025-06-23,6,Monday,Promotional,Tier 2,25-34,Android,Website Signup,619,1,1,1,1,0,6.8,8.53
MSG000105,CUST00013,2025-07-16,10,Wednesday,Feedback Request,Tier 2,25-34,Android,Website Signup,619,1,1,1,0,0,56.4,1.61
MSG000106,CUST00013,2025-07-16,13,Wednesday,Promotional,Tier 2,25-34,Android,Website Signup,619,1,1,1,1,0,102.2,4.46
MSG000107,CUST00013,2025-07-29,12,Tuesday,Promotional,Tier 2,25-34,Android,Website Signup,619,1,1,0,0,0,16.2,
MSG000108,CUST00013,2025-08-29,10,Friday,Feedback Request,Tier 2,25-34,Android,Website Signup,619,1,1,1,1,0,14.8,14.88
MSG000109,CUST00014,2025-06-06,13,Friday,Festive Offer,Tier 3,25-34,iOS,Website Signup,262,1,1,1,1,0,395.3,6.46
MSG000110,CUST00014,2025-06-15,13,Sunday,Festive Offer,Tier 3,25-34,iOS,Website Signup,262,1,0,0,0,0,,
MSG000111,CUST00014,2025-07-14,9,Monday,Reminder,Tier 3,25-34,iOS,Website Signup,262,1,1,0,0,0,23.9,
MSG000112,CUST00014,2025-07-31,10,Thursday,Promotional,Tier 3,25-34,iOS,Website Signup,262,1,0,0,0,0,,
MSG000113,CUST00015,2025-03-25,10,Tuesday,Reminder,Tier 1,18-24,Android,Website Signup,702,1,1,1,0,0,34.2,14.61
MSG000114,CUST00015,2025-04-30,11,Wednesday,Festive Offer,Tier 1,18-24,Android,Website Signup,702,1,1,0,0,0,149.3,
MSG000115,CUST00015,2025-06-23,8,Monday,Reminder,Tier 1,18-24,Android,Website Signup,702,1,1,0,0,0,37.2,
MSG000116,CUST00015,2025-08-18,17,Monday,Transactional,Tier 1,18-24,Android,Website Signup,702,1,1,1,0,0,6.9,9.91
MSG000117,CUST00016,2025-03-06,14,Thursday,Reminder,Tier 1,45-54,Android,Website Signup,754,1,0,0,0,0,,
MSG000118,CUST00016,2025-03-20,12,Thursday,Feedback Request,Tier 1,45-54,Android,Website Signup,754,1,0,0,0,0,,
MSG000119,CUST00016,2025-03-29,12,Saturday,Promotional,Tier 1,45-54,Android,Website Signup,754,1,0,0,0,0,,
MSG000120,CUST00016,2025-04-09,11,Wednesday,Reminder,Tier 1,45-54,Android,Website Signup,754,0,0,0,0,0,,
MSG000121,CUST00016,2025-06-13,15,Friday,Promotional,Tier 1,45-54,Android,Website Signup,754,1,1,0,0,0,240.0,
MSG000122,CUST00016,2025-07-09,13,Wednesday,Festive Offer,Tier 1,45-54,Android,Website Signup,754,1,1,0,0,0,46.1,
MSG000123,CUST00016,2025-08-21,9,Thursday,Festive Offer,Tier 1,45-54,Android,Website Signup,754,1,1,1,0,0,160.0,4.52
MSG000124,CUST00016,2025-08-25,15,Monday,Promotional,Tier 1,45-54,Android,Website Signup,754,1,1,1,1,0,14.6,15.84
MSG000125,CUST00016,2025-08-27,7,Wednesday,Promotional,Tier 1,45-54,Android,Website Signup,754,1,1,0,0,1,33.5,
MSG000126,CUST00017,2025-04-02,13,Wednesday,Reminder,Tier 2,35-44,Android,Website Signup,48,1,0,0,0,0,,
MSG000127,CUST00017,2025-06-09,5,Monday,Feedback Request,Tier 2,35-44,Android,Website Signup,48,1,1,1,0,1,107.4,2.27
MSG000128,CUST00017,2025-06-18,14,Wednesday,Transactional,Tier 2,35-44,Android,Website Signup,48,1,0,0,0,0,,
MSG000129,CUST00017,2025-08-14,9,Thursday,Promotional,Tier 2,35-44,Android,Website Signup,48,1,1,0,0,0,75.0,
MSG000130,CUST00018,2025-03-26,17,Wednesday,Feedback Request,Tier 1,35-44,Android,In-Store,104,1,0,0,0,0,,
MSG000131,CUST00018,2025-04-02,13,Wednesday,Promotional,Tier 1,35-44,Android,In-Store,104,1,0,0,0,0,,
MSG000132,CUST00018,2025-07-30,1,Wednesday,Promotional,Tier 1,35-44,Android,In-Store,104,1,0,0,0,0,,
MSG000133,CUST00019,2025-03-14,12,Friday,Transactional,Tier 3,25-34,iOS,Website Signup,602,0,0,0,0,0,,
MSG000134,CUST00019,2025-03-29,16,Saturday,Festive Offer,Tier 3,25-34,iOS,Website Signup,602,1,1,0,0,0,152.1,
MSG000135,CUST00019,2025-04-03,12,Thursday,Festive Offer,Tier 3,25-34,iOS,Website Signup,602,1,0,0,0,0,,
MSG000136,CUST00019,2025-06-30,8,Monday,Promotional,Tier 3,25-34,iOS,Website Signup,602,1,1,1,0,0,113.1,5.86
MSG000137,CUST00019,2025-07-08,5,Tuesday,Promotional,Tier 3,25-34,iOS,Website Signup,602,1,0,0,0,0,,
MSG000138,CUST00019,2025-07-09,11,Wednesday,Feedback Request,Tier 3,25-34,iOS,Website Signup,602,1,1,1,1,0,13.3,9.69
MSG000139,CUST00019,2025-07-13,11,Sunday,Promotional,Tier 3,25-34,iOS,Website Signup,602,1,1,0,0,0,30.2,
MSG000140,CUST00019,2025-07-15,5,Tuesday,Reminder,Tier 3,25-34,iOS,Website Signup,602,1,1,0,0,0,10.8,
MSG000141,CUST00020,2025-03-05,14,Wednesday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,1,1,0,0,115.2,2.46
MSG000142,CUST00020,2025-03-27,11,Thursday,Feedback Request,Tier 2,25-34,Android,Social Ads,899,1,1,0,0,1,46.7,
MSG000143,CUST00020,2025-04-07,17,Monday,Transactional,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000144,CUST00020,2025-05-03,13,Saturday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,1,0,0,0,144.5,
MSG000145,CUST00020,2025-06-03,12,Tuesday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,1,1,0,0,125.2,39.33
MSG000146,CUST00020,2025-06-06,11,Friday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000147,CUST00020,2025-06-18,14,Wednesday,Reminder,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000148,CUST00020,2025-06-25,9,Wednesday,Transactional,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000149,CUST00020,2025-07-18,8,Friday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000150,CUST00020,2025-08-03,11,Sunday,Festive Offer,Tier 2,25-34,Android,Social Ads,899,1,0,0,0,0,,
MSG000151,CUST00020,2025-08-05,14,Tuesday,Promotional,Tier 2,25-34,Android,Social Ads,899,1,1,1,1,1,154.2,3.95
MSG000152,CUST00021,2025-03-20,7,Thursday,Promotional,Tier 2,25-34,Android,Social Ads,31,1,1,1,1,0,62.0,0.27
MSG000153,CUST00021,2025-04-14,16,Monday,Feedback Request,Tier 2,25-34,Android,Social Ads,31,1,1,0,0,0,348.1,
MSG000154,CUST00021,2025-04-20,16,Sunday,Festive Offer,Tier 2,25-34,Android,Social Ads,31,1,1,1,0,1,298.4,3.45
MSG000155,CUST00021,2025-05-01,10,Thursday,Festive Offer,Tier 2,25-34,Android,Social Ads,31,1,1,0,0,1,62.7,
MSG000156,CUST00021,2025-07-18,13,Friday,Transactional,Tier 2,25-34,Android,Social Ads,31,1,0,0,0,0,,
MSG000157,CUST00021,2025-07-30,16,Wednesday,Festive Offer,Tier 2,25-34,Android,Social Ads,31,1,1,0,0,0,34.7,
MSG000158,CUST00021,2025-08-21,10,Thursday,Transactional,Tier 2,25-34,Android,Social Ads,31,1,1,0,0,0,73.6,
MSG000159,CUST00022,2025-03-31,16,Monday,Reminder,Tier 1,25-34,Android,Referral,602,1,1,1,0,0,28.5,3.72
MSG000160,CUST00022,2025-06-15,16,Sunday,Reminder,Tier 1,25-34,Android,Referral,602,1,1,1,0,0,66.1,34.53
MSG000161,CUST00022,2025-08-02,9,Saturday,Promotional,Tier 1,25-34,Android,Referral,602,1,1,0,0,0,11.3,
MSG000162,CUST00023,2025-04-17,17,Thursday,Feedback Request,Tier 3,18-24,Android,Website Signup,131,1,0,0,0,0,,
MSG000163,CUST00023,2025-04-27,8,Sunday,Transactional,Tier 3,18-24,Android,Website Signup,131,1,0,0,0,0,,
MSG000164,CUST00023,2025-05-28,15,Wednesday,Festive Offer,Tier 3,18-24,Android,Website Signup,131,1,1,1,0,0,104.8,35.37
MSG000165,CUST00023,2025-08-08,11,Friday,Promotional,Tier 3,18-24,Android,Website Signup,131,1,1,1,0,0,28.3,6.86
MSG000166,CUST00024,2025-04-14,13,Monday,Festive Offer,Tier 3,25-34,iOS,Referral,588,0,0,0,0,0,,
MSG000167,CUST00024,2025-04-18,11,Friday,Reminder,Tier 3,25-34,iOS,Referral,588,1,1,0,0,0,50.5,
MSG000168,CUST00024,2025-04-26,9,Saturday,Promotional,Tier 3,25-34,iOS,Referral,588,1,1,0,0,0,183.3,
MSG000169,CUST00024,2025-04-30,13,Wednesday,Reminder,Tier 3,25-34,iOS,Referral,588,1,1,1,0,0,324.4,18.37
MSG000170,CUST00024,2025-05-03,7,Saturday,Promotional,Tier 3,25-34,iOS,Referral,588,1,1,0,0,0,214.9,
MSG000171,CUST00024,2025-05-11,17,Sunday,Promotional,Tier 3,25-34,iOS,Referral,588,1,1,1,1,1,21.2,18.86
MSG000172,CUST00024,2025-06-07,8,Saturday,Festive Offer,Tier 3,25-34,iOS,Referral,588,1,1,1,1,0,35.6,2.55
MSG000173,CUST00024,2025-06-24,3,Tuesday,Festive Offer,Tier 3,25-34,iOS,Referral,588,1,1,1,0,0,22.7,0.7
MSG000174,CUST00024,2025-07-06,14,Sunday,Feedback Request,Tier 3,25-34,iOS,Referral,588,1,1,0,0,0,51.5,
MSG000175,CUST00025,2025-03-25,13,Tuesday,Reminder,Tier 2,18-24,Android,Social Ads,564,1,1,0,0,0,241.4,
MSG000176,CUST00025,2025-04-06,6,Sunday,Reminder,Tier 2,18-24,Android,Social Ads,564,1,0,0,0,0,,
MSG000177,CUST00025,2025-05-17,16,Saturday,Festive Offer,Tier 2,18-24,Android,Social Ads,564,1,1,1,1,0,2.4,42.92
MSG000178,CUST00025,2025-06-14,11,Saturday,Transactional,Tier 2,18-24,Android,Social Ads,564,1,0,0,0,0,,
MSG000179,CUST00026,2025-03-10,14,Monday,Reminder,Tier 1,25-34,iOS,In-Store,90,1,1,0,0,0,99.6,
MSG000180,CUST00026,2025-03-19,13,Wednesday,Promotional,Tier 1,25-34,iOS,In-Store,90,1,0,0,0,0,,
MSG000181,CUST00026,2025-04-23,16,Wednesday,Promotional,Tier 1,25-34,iOS,In-Store,90,1,1,1,0,1,2.4,48.42
MSG000182,CUST00026,2025-05-27,16,Tuesday,Festive Offer,Tier 1,25-34,iOS,In-Store,90,1,1,0,0,0,1.2,
MSG000183,CUST00026,2025-06-14,10,Saturday,Promotional,Tier 1,25-34,iOS,In-Store,90,1,0,0,0,0,,
MSG000184,CUST00026,2025-07-31,13,Thursday,Festive Offer,Tier 1,25-34,iOS,In-Store,90,1,0,0,0,0,,
MSG000185,CUST00026,2025-08-21,19,Thursday,Promotional,Tier 1,25-34,iOS,In-Store,90,1,1,0,0,0,215.9,
MSG000186,CUST00027,2025-03-13,19,Thursday,Festive Offer,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,93.1,
MSG000187,CUST00027,2025-03-19,16,Wednesday,Festive Offer,Tier 2,25-34,Android,Social Ads,615,1,0,0,0,0,,
MSG000188,CUST00027,2025-03-23,15,Sunday,Reminder,Tier 2,25-34,Android,Social Ads,615,1,0,0,0,0,,
MSG000189,CUST00027,2025-03-26,14,Wednesday,Promotional,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,24.2,
MSG000190,CUST00027,2025-04-13,16,Sunday,Reminder,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,165.9,
MSG000191,CUST00027,2025-05-11,11,Sunday,Promotional,Tier 2,25-34,Android,Social Ads,615,1,1,1,0,0,112.7,54.42
MSG000192,CUST00027,2025-06-06,10,Friday,Reminder,Tier 2,25-34,Android,Social Ads,615,1,0,0,0,0,,
MSG000193,CUST00027,2025-07-19,11,Saturday,Transactional,Tier 2,25-34,Android,Social Ads,615,1,1,1,1,0,199.0,12.44
MSG000194,CUST00027,2025-08-04,13,Monday,Festive Offer,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,89.3,
MSG000195,CUST00027,2025-08-19,12,Tuesday,Promotional,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,20.6,
MSG000196,CUST00027,2025-08-27,11,Wednesday,Promotional,Tier 2,25-34,Android,Social Ads,615,1,1,0,0,0,6.8,
MSG000197,CUST00028,2025-03-11,10,Tuesday,Transactional,Tier 1,18-24,Android,Referral,808,1,1,1,1,0,301.3,3.71
MSG000198,CUST00028,2025-06-06,18,Friday,Promotional,Tier 1,18-24,Android,Referral,808,1,0,0,0,0,,
MSG000199,CUST00028,2025-06-27,15,Friday,Feedback Request,Tier 1,18-24,Android,Referral,808,1,1,0,0,1,88.8,
MSG000200,CUST00028,2025-07-22,9,Tuesday,Feedback Request,Tier 1,18-24,Android,Referral,808,1,1,1,1,0,27.4,15.55
MSG000201,CUST00029,2025-03-09,16,Sunday,Promotional,Tier 1,18-24,Android,Referral,778,1,1,0,0,0,59.7,
MSG000202,CUST00029,2025-05-09,15,Friday,Reminder,Tier 1,18-24,Android,Referral,778,1,1,0,0,0,127.0,
MSG000203,CUST00029,2025-06-06,16,Friday,Reminder,Tier 1,18-24,Android,Referral,778,1,1,0,0,1,128.0,
MSG000204,CUST00029,2025-08-11,13,Monday,Reminder,Tier 1,18-24,Android,Referral,778,1,1,0,0,0,63.0,
MSG000205,CUST00030,2025-03-01,17,Saturday,Transactional,Tier 2,25-34,Android,Website Signup,35,1,1,0,0,0,204.4,
MSG000206,CUST00030,2025-03-05,9,Wednesday,Promotional,Tier 2,25-34,Android,Website Signup,35,1,1,0,0,0,233.2,
