contact_id,message_id,predicted_delivered_probability,predicted_read_probability,predicted_responded_probability,predicted_converted_probability,predicted_opted_out_probability,city_tier,age_group,device_type,signup_channel,tenure_days
CUST00020,MSG000151,0.8591648895196369,0.5180360188786367,0.6271596035827167,0.529241470604077,0.5525939775854044,Tier 2,25-34,Android,Social Ads,899
CUST00004,MSG000031,0.822611704956399,0.3398638293442603,,,0.2498847810870437,Tier 2,55+,Android,Referral,827
CUST00031,MSG000226,0.6601641943563301,0.2703415815124296,0.3316761196171168,,0.234016972291071,Tier 2,18-24,Android,In-Store,228
CUST00068,MSG000490,0.7358238709682329,0.5349675700786554,0.5214092963832018,0.6537159614798634,0.2407190407614272,Tier 1,35-44,Android,In-Store,755
CUST00009,MSG000076,0.6711266085658598,0.3589474678510912,,,0.1597851400852967,Tier 1,18-24,Android,Website Signup,357
CUST00097,MSG000696,0.8067360290617928,0.7129437838391792,0.5346939455976297,,0.1684059487646967,Tier 1,25-34,iOS,Social Ads,463
CUST00076,MSG000549,0.710652764408723,0.7374052679278346,0.3578694833648653,0.5787528758614635,0.1752763011969569,Tier 1,18-24,Android,Website Signup,459
CUST00023,MSG000165,0.5747778844169095,0.4161231916308102,0.3424186103751383,0.5104527885282893,0.1225273229818089,Tier 3,18-24,Android,Website Signup,131
CUST00054,MSG000378,0.657028252258475,0.5072423560720939,0.4054361498251922,0.6801438989486819,0.1237567584594747,Tier 2,25-34,Android,Referral,222
CUST00060,MSG000421,0.8456523156037488,0.5334873048638773,,,0.4454652347352262,Tier 1,35-44,Android,Referral,722
CUST00003,MSG000025,0.8939073260503422,0.5393733869358397,0.4868079671207216,,0.092872015068219,Tier 3,18-24,Android,Referral,468
CUST00035,MSG000254,0.8627748171645667,0.7379075509366497,0.6851946310404838,0.591287433757094,0.1749764622449576,Tier 2,25-34,iOS,Website Signup,770
CUST00081,MSG000577,0.925838712543941,0.4234310441786302,0.3924218279725756,,0.2063994869717291,Tier 2,45-54,Android,Referral,86
CUST00056,MSG000397,0.6473785450850115,0.5225778510471473,0.6695570590545088,0.4182388469137505,0.2065732214045623,Tier 2,35-44,Android,Referral,765
CUST00029,MSG000204,0.7450760555204785,0.5731840513584148,0.4928315738282028,,0.2776087098946839,Tier 1,18-24,Android,Referral,778
CUST00066,MSG000472,0.6537953132241248,0.5642980769371422,,,0.0505671931286398,Tier 2,25-34,Android,Referral,631
CUST00001,MSG000007,0.9213778661597736,0.5380945604145754,,,0.1241353489804227,Tier 2,45-54,Android,In-Store,20
CUST00017,MSG000129,0.924408428561677,0.6026525866169563,0.3763256807530574,,0.2772809836496993,Tier 2,35-44,Android,Website Signup,48
CUST00086,MSG000613,0.6436621359836249,0.6743318636155049,0.4084617371925361,0.584862976111584,0.148397712001017,Tier 1,35-44,Android,Social Ads,663
CUST00041,MSG000286,0.7620516153167497,0.4398315358258566,,,0.0993621124601067,Tier 1,25-34,iOS,Website Signup,267
CUST00072,MSG000517,0.8712955558548614,0.2903924313526978,,,0.0840361864919501,Tier 1,25-34,Android,Website Signup,189
CUST00067,MSG000484,0.712126457269705,0.3878740693370436,,,0.2746426839621115,Tier 2,35-44,Android,In-Store,739
CUST00010,MSG000082,0.7228081864771646,0.6214973128634803,0.5941911018941142,0.3780224506677638,0.2944535004073447,Tier 2,45-54,Android,Website Signup,897
CUST00050,MSG000351,0.6454560515096012,0.6579053805208381,0.3699192879970476,,0.0997254719801495,Tier 1,18-24,Android,Website Signup,549
CUST00092,MSG000659,0.6266309863737053,0.6076022373629937,0.4525241652307123,0.4481723441296609,0.2354743197476578,Tier 2,18-24,Android,Website Signup,641
CUST00015,MSG000116,0.7461902162008335,0.7005364823487251,0.4773919580108234,0.5241725024819055,0.1737987468790809,Tier 1,18-24,Android,Website Signup,702
CUST00098,MSG000703,0.9043302171496634,0.551938231826157,0.5466755242298699,0.4451679565676835,0.2242647515410005,Tier 1,45-54,iOS,Website Signup,58
CUST00030,MSG000216,0.9101457393557808,0.4880240219475608,,,0.1581830641250808,Tier 2,25-34,Android,Website Signup,35
CUST00045,MSG000313,0.9200238096430584,0.4407379535217658,,,0.1644496769787954,Tier 3,25-34,Android,In-Store,14
CUST00078,MSG000560,0.8336552753172278,0.446040285470215,,,0.1174946032970972,Tier 2,55+,Android,Referral,673
CUST00047,MSG000321,0.7471031959530365,0.3902937904255199,,,0.171305095719981,Tier 1,25-34,Android,Social Ads,149
CUST00073,MSG000525,0.695688221820515,0.3900306520263087,0.4387697956805134,0.6097900486655935,0.5725687791943918,Tier 3,18-24,Android,Website Signup,111
CUST00052,MSG000361,0.8451772793902502,0.662530531832802,0.4479339020725557,,0.302242942164614,Tier 1,45-54,iOS,Website Signup,723
CUST00008,MSG000067,0.5816674272975474,0.3598284557189534,0.3504726611024242,,0.1699460749546548,Tier 2,18-24,Android,Referral,108
CUST00094,MSG000676,0.4811116660645553,0.585087098015642,0.6835319599861711,0.684130894062755,0.2597506969188636,Tier 1,35-44,Android,In-Store,882
CUST00021,MSG000158,0.8999668566440551,0.5667111325252173,0.4180158775705147,,0.1500797018029738,Tier 2,25-34,Android,Social Ads,31
CUST00026,MSG000185,0.8637053774430268,0.536379960058361,0.4881923052280709,,0.3377715474840648,Tier 1,25-34,iOS,In-Store,90
CUST00061,MSG000432,0.8182992772512072,0.3143923073913624,,,0.181971969560913,Tier 2,18-24,Android,Social Ads,871
CUST00088,MSG000622,0.6841990314668851,0.2820671616949804,,,0.4275544760548738,Tier 2,18-24,Android,Social Ads,181
CUST00055,MSG000389,0.7842985235031086,0.4638844796017693,0.3655465819019785,,0.201074548994003,Tier 2,18-24,Android,Referral,266
CUST00096,MSG000693,0.8649485605347897,0.4979780711778296,0.5269064462975007,0.4485949410435157,0.3415394021192759,Tier 2,18-24,iOS,Referral,554
CUST00016,MSG000125,0.8160120486988663,0.610554459661278,0.4186081290041293,,0.4750182625744419,Tier 1,45-54,Android,Website Signup,754
CUST00083,MSG000591,0.7035051483971236,0.6305019953241755,,,0.2018029435079755,Tier 3,25-34,Android,In-Store,409
CUST00065,MSG000465,0.7605458224859903,0.565414019182966,,,0.3995663330834115,Tier 2,25-34,iOS,In-Store,763
CUST00027,MSG000196,0.8001291709835505,0.6308215672675177,0.5182454648605404,,0.1648849397732603,Tier 2,25-34,Android,Social Ads,615
CUST00059,MSG000418,0.7278069050966148,0.4472743236840513,,,0.2012534116923742,Tier 1,35-44,Android,Referral,605
CUST00007,MSG000057,0.8113215259473768,0.6521059858559254,0.5860501999810338,0.41709040071412,0.1023316512739629,Tier 2,25-34,Android,Website Signup,494
CUST00012,MSG000099,0.4912646033272655,0.4567021229619838,,,0.3229583932109616,Tier 3,18-24,Android,Referral,792
CUST00074,MSG000536,0.7992339910565383,0.3782497013143566,,,0.1836204851078724,Tier 1,45-54,Android,Website Signup,121
CUST00070,MSG000499,0.8169159606325999,0.6656903164991012,,,0.271398657117231,Tier 1,55+,Android,Social Ads,45
CUST00038,MSG000267,0.346577008889541,,,,,Tier 2,25-34,iOS,In-Store,186
CUST00013,MSG000108,0.7538002312510934,0.6982703701567992,0.6051969726586098,0.6918683791798513,0.1450566933128165,Tier 2,25-34,Android,Website Signup,619
CUST00095,MSG000683,0.7009838664286003,0.6507251092271298,0.4221832789742848,,0.1928503290908316,Tier 1,18-24,iOS,Website Signup,676
CUST00032,MSG000230,0.8860896834899961,0.3453813247709019,,,0.1254490464674781,Tier 3,45-54,Android,Website Signup,224
CUST00071,MSG000508,0.7598765845550177,0.6893634886989198,0.4809309403608818,,0.2370572892809114,Tier 1,18-24,Android,In-Store,416
CUST00085,MSG000601,0.7029770161586573,0.6919437059710526,0.3799079194184954,,0.2540397298578742,Tier 1,35-44,Android,Website Signup,733
CUST00049,MSG000340,0.7789811872892407,0.6161545198342117,0.5531866710929177,,0.1677979526647104,Tier 2,25-34,Android,Referral,739
